step time dx dv
39200 19.600000 0.008566 0.118868
39300 19.650000 0.014216 0.106016
39400 19.700000 0.019085 0.087764
39500 19.750000 0.022930 0.065185
39600 19.800000 0.025564 0.039472
39700 19.850000 0.026860 0.011890
39800 19.900000 0.026757 -0.016259
39900 19.950000 0.025260 -0.043663
40000 20.000000 0.022438 -0.069022
40100 20.050000 0.018425 -0.091076
40200 20.100000 0.013415 -0.108640
40300 20.150000 0.007661 -0.120659
40400 20.200000 0.001461 -0.126268
40500 20.250000 -0.004848 -0.124880
40600 20.300000 -0.010909 -0.116269
40700 20.350000 -0.016364 -0.100653
40800 20.400000 -0.020879 -0.078745
40900 20.450000 -0.024166 -0.051759
41000 20.500000 -0.026012 -0.021356
41100 20.550000 -0.026293 0.010488
41200 20.600000 -0.024990 0.041654
41300 20.650000 -0.022188 0.070089
41400 20.700000 -0.018070 0.093997
41500 20.750000 -0.012898 0.111986
41600 20.800000 -0.006993 0.123151
41700 20.850000 -0.000707 0.127095
41800 20.900000 0.005597 0.123889
41900 20.950000 0.011574 0.113999
42000 21.000000 0.016905 0.098199
42100 21.050000 0.021321 0.077487
42200 21.100000 0.024602 0.053010
42300 21.150000 0.026592 0.026011
42400 21.200000 0.027197 -0.002215
42500 21.250000 0.026386 -0.030352
42600 21.300000 0.024199 -0.057082
42700 21.350000 0.020736 -0.081115
42800 21.400000 0.016164 -0.101214
42900 21.450000 0.010708 -0.116245
43000 21.500000 0.004646 -0.125229
43100 21.550000 -0.001699 -0.127422
43200 21.600000 -0.007976 -0.122401
43300 21.650000 -0.013823 -0.110150
43400 21.700000 -0.018886 -0.091130
43500 21.750000 -0.022850 -0.066315
43600 21.800000 -0.025458 -0.037164
43700 21.850000 -0.026540 -0.005533
43800 21.900000 -0.026021 0.026490
43900 21.950000 -0.023936 0.056772
44000 22.000000 -0.020420 0.083349
44100 22.050000 -0.015702 0.104600
44200 22.100000 -0.010078 0.119361
44300 22.150000 -0.003890 0.126982
44400 22.200000 0.002497 0.127307
44500 22.250000 0.008725 0.120620
44600 22.300000 0.014457 0.107560
44700 22.350000 0.019397 0.089030
44800 22.400000 0.023298 0.066120
44900 22.450000 0.025969 0.040040
45000 22.500000 0.027284 0.012068
45100 22.550000 0.027180 -0.016477
45200 22.600000 0.025663 -0.044269
45300 22.650000 0.022801 -0.069994
45400 22.700000 0.018731 -0.092375
45500 22.750000 0.013650 -0.110213
45600 22.800000 0.007811 -0.122433
45700 22.850000 0.001519 -0.128157
45800 22.900000 -0.004885 -0.126781
45900 22.950000 -0.011039 -0.118071
46000 23.000000 -0.016579 -0.102241
46100 23.050000 -0.021166 -0.080010
46200 23.100000 -0.024506 -0.052611
46300 23.150000 -0.026383 -0.021730
46400 23.200000 -0.026671 0.010620
46500 23.250000 -0.025349 0.042282
46600 23.300000 -0.022504 0.071166
46700 23.350000 -0.018322 0.095443
46800 23.400000 -0.013071 0.113700
46900 23.450000 -0.007076 0.125021
47000 23.500000 -0.000695 0.129008
47100 23.550000 0.005704 0.125737
47200 23.600000 0.011769 0.115687
47300 23.650000 0.017179 0.099647
47400 23.700000 0.021660 0.078632
47500 23.750000 0.024990 0.053806
47600 23.800000 0.027011 0.026427
47700 23.850000 0.027626 -0.002196
47800 23.900000 0.026807 -0.030730
47900 23.950000 0.024591 -0.057844
48000 24.000000 0.021081 -0.082233
48100 24.050000 0.016445 -0.102643
48200 24.100000 0.010911 -0.117923
48300 24.150000 0.004761 -0.127078
