velocity_x speed
-0.493360 0.535316
-0.848116 1.643618
-0.428234 2.572040
-0.858699 1.257435
-0.607653 0.970412
0.691233 2.623690
-0.530310 1.363372
-0.857545 1.672484
-1.976462 3.101893
0.696966 0.920085
-0.585987 1.419770
2.241335 2.910356
-1.757474 1.983520
0.086121 3.448103
-0.429554 0.985339
-0.447233 1.770087
-1.399673 1.935035
-1.584504 2.982977
2.647052 3.388269
-0.961849 1.382244
-1.394219 1.931659
0.160669 3.291601
-2.181776 2.960856
-0.844393 1.196070
-1.652467 2.866930
-1.427940 3.383259
-0.326080 1.070162
1.366602 2.584618
-0.170555 2.041058
1.619383 2.598337
1.705202 2.189939
0.886210 1.763744
-0.707105 1.767773
0.138317 0.761892
-0.345447 1.838717
0.977496 1.613180
1.912687 2.310125
-0.293911 0.574736
-0.325245 0.478730
-0.913819 1.380656
-1.509271 2.587455
0.629885 2.906174
0.977703 1.590651
-2.261369 2.590185
0.335591 2.149907
-1.521277 3.872929
-0.756859 2.203733
-1.113419 2.440523
-1.523054 3.444286
0.182387 1.231969
0.496584 0.848043
-0.886255 0.898035
-1.353421 1.406945
-0.309518 0.918932
0.955894 3.174511
-0.406941 1.803642
-1.823646 3.063638
-1.628588 2.571816
0.279314 0.751836
-0.503222 1.878754
1.728699 2.192219
-0.230660 1.409608
0.431156 1.828793
1.032988 2.494511
-0.226764 2.177411
-1.472999 2.199018
0.125405 0.545056
2.588682 3.456070
1.655305 2.921646
3.172978 3.264353
-1.117490 2.847370
-0.569803 3.556150
1.157930 2.254794
-2.756559 3.384132
1.133834 2.555742
-0.331819 2.245961
-1.708166 2.070099
-0.452503 0.727800
-0.071615 0.449677
-2.037526 2.993796
-0.101343 2.106237
-0.729670 1.849600
-3.762867 3.844830
-3.289516 3.418251
-1.359027 2.197759
0.582373 2.277134
-0.852986 0.987193
-0.579675 2.417046
-2.238954 2.286068
0.217794 3.336735
-0.335086 0.517212
-1.168230 1.760000
1.060613 1.392344
-0.518800 2.523844
-1.278289 1.522344
-0.145391 1.277564
-0.343789 3.051323
-0.302506 1.260888
-1.324520 1.526620
-0.962644 1.107451
-0.783631 2.529149
-1.770894 2.391538
-0.824430 2.665507
-1.907653 2.740691
-1.077131 2.621394
1.419653 2.123606
-1.118132 1.907709
-0.211333 1.708031
-0.620969 1.323294
0.787134 1.178217
1.030393 1.697413
0.252187 1.468692
-0.214226 1.674107
2.251324 2.521497
-1.512078 1.584104
-2.019898 2.335785
-0.678931 1.129017
1.043287 1.860282
-0.529014 2.984035
0.641433 0.706696
-0.300429 1.408114
-0.896800 2.973915
0.277676 1.262979
0.381210 1.823650
-0.943947 1.464657
-0.339901 2.239439
1.334866 1.667973
1.316633 1.512467
0.561013 2.666200
0.422386 1.275752
-0.259833 0.915188
0.234420 2.082615
0.906245 2.057364
-2.149157 2.363551
1.254467 1.552520
-0.410320 1.913086
-0.857444 3.635900
-2.026969 2.527366
1.131724 2.290006
-1.898074 1.956362
-1.136590 2.909427
0.975765 1.747842
-0.616006 1.284963
-2.029176 2.058096
-0.720010 2.362141
-0.571442 2.562614
-0.827778 2.051893
-0.826992 1.784623
-0.560977 1.271536
-0.758374 1.157835
1.026382 2.161915
1.559808 1.789080
1.018920 1.371134
-3.024206 3.265148
0.308053 0.826590
0.162296 2.807589
2.543501 2.855085
-1.214446 1.892951
0.647147 1.172293
0.077412 1.349822
0.865339 3.143993
-1.348186 1.619609
0.903585 1.873441
0.142412 1.056037
-1.040153 1.472634
-1.322127 1.592189
1.228959 2.672630
0.477247 2.152399
1.219604 1.280295
-0.934351 1.899294
0.547954 1.772357
0.931630 1.365005
-0.214668 0.770614
-1.949064 2.974997
0.775323 1.171542
-0.535852 2.000692
1.772023 2.603729
-0.007232 0.809390
0.539367 1.955942
-1.299735 2.712389
-0.698242 1.186397
-0.083458 1.494053
-0.348767 2.173661
1.708458 2.544257
-2.133361 2.486718
1.564812 2.855677
-0.355925 1.638687
0.560520 1.462006
-2.389507 2.460395
0.094215 2.396977
-0.541760 1.566773
1.065495 1.577398
-0.265449 2.126331
-0.388942 1.932018
1.043778 3.026414
1.450207 1.919278
-0.560983 1.302061
1.776560 1.888810
-0.159204 1.738629
-0.530784 2.583182
0.999765 2.593154
-3.667716 3.814229
-1.316423 1.336223
